unit,Dose (µM),Viability (%),compound
Compound A-0.01-0,0.01,97.9186003040345,Compound A
Compound A-0.01-1,0.01,99.2862156685669,Compound A
Compound A-0.01-2,0.01,95.8128546913153,Compound A
Compound A-0.02268-0,0.022675431258708,96.906270840756,Compound A
Compound A-0.02268-1,0.022675431258708,97.5515749620808,Compound A
Compound A-0.02268-2,0.022675431258708,97.5719631315819,Compound A
Compound A-0.05142-0,0.0514175182768393,97.6853460018972,Compound A
Compound A-0.05142-1,0.0514175182768393,96.5918513848121,Compound A
Compound A-0.05142-2,0.0514175182768393,96.4695019570139,Compound A
Compound A-0.1166-0,0.116591440117983,86.7968201598042,Compound A
Compound A-0.1166-1,0.116591440117983,91.0706325901277,Compound A
Compound A-0.1166-2,0.116591440117983,93.6623113497533,Compound A
Compound A-0.2644-0,0.26437611857491,73.8743799634546,Compound A
Compound A-0.2644-1,0.26437611857491,69.5486147846458,Compound A
Compound A-0.2644-2,0.26437611857491,71.6213326593866,Compound A
Compound A-0.5995-0,0.599484250318941,48.3987705005614,Compound A
Compound A-0.5995-1,0.599484250318941,48.6632291678347,Compound A
Compound A-0.5995-2,0.599484250318941,47.5123016768109,Compound A
Compound A-1.359-0,1.35935639087853,22.9075130893715,Compound A
Compound A-1.359-1,1.35935639087853,26.0625114787316,Compound A
Compound A-1.359-2,1.35935639087853,27.6537292391394,Compound A
Compound A-3.082-0,3.08239923974514,11.2526604634532,Compound A
Compound A-3.082-1,3.08239923974514,11.6509314681571,Compound A
Compound A-3.082-2,3.08239923974514,10.649480350835,Compound A
Compound A-6.989-0,6.98947320727349,6.99578879504062,Compound A
Compound A-6.989-1,6.98947320727349,4.26655225758414,Compound A
Compound A-6.989-2,6.98947320727349,3.61031491352969,Compound A
Compound A-15.85-0,15.8489319246111,5.4356783174145,Compound A
Compound A-15.85-1,15.8489319246111,3.94595231502174,Compound A
Compound A-15.85-2,15.8489319246111,3.8967095272742,Compound A
Compound B-0.01-0,0.01,100.360857473522,Compound B
Compound B-0.01-1,0.01,97.0763916490153,Compound B
Compound B-0.01-2,0.01,101.982399743543,Compound B
Compound B-0.02268-0,0.022675431258708,98.1745628461519,Compound B
Compound B-0.02268-1,0.022675431258708,100.789693789023,Compound B
Compound B-0.02268-2,0.022675431258708,96.2563573103219,Compound B
Compound B-0.05142-0,0.0514175182768393,95.1727662290175,Compound B
Compound B-0.05142-1,0.0514175182768393,99.6807104233251,Compound B
Compound B-0.05142-2,0.0514175182768393,100.858887352135,Compound B
Compound B-0.1166-0,0.116591440117983,100.465243454141,Compound B
Compound B-0.1166-1,0.116591440117983,97.4783024173982,Compound B
Compound B-0.1166-2,0.116591440117983,97.8911467122222,Compound B
Compound B-0.2644-0,0.26437611857491,93.944235981166,Compound B
Compound B-0.2644-1,0.26437611857491,92.916174313992,Compound B
Compound B-0.2644-2,0.26437611857491,92.5535974741614,Compound B
Compound B-0.5995-0,0.599484250318941,84.1670276617262,Compound B
Compound B-0.5995-1,0.599484250318941,83.425389451576,Compound B
Compound B-0.5995-2,0.599484250318941,81.987240881423,Compound B
Compound B-1.359-0,1.35935639087853,58.4403754950083,Compound B
Compound B-1.359-1,1.35935639087853,56.9346173938292,Compound B
Compound B-1.359-2,1.35935639087853,54.87708489486,Compound B
Compound B-3.082-0,3.08239923974514,32.0844057387922,Compound B
Compound B-3.082-1,3.08239923974514,27.4058024773989,Compound B
Compound B-3.082-2,3.08239923974514,31.6856945827758,Compound B
Compound B-6.989-0,6.98947320727349,12.0345766064624,Compound B
Compound B-6.989-1,6.98947320727349,14.9065374708391,Compound B
Compound B-6.989-2,6.98947320727349,13.6178215568521,Compound B
Compound B-15.85-0,15.8489319246111,7.17229549524738,Compound B
Compound B-15.85-1,15.8489319246111,9.279583376445,Compound B
Compound B-15.85-2,15.8489319246111,8.62703837559395,Compound B
