term,enrichment_ratio,adjusted_p,count,ontology
Pathway 1,0.8278172750696204,2e-06,46,GO
Pathway 2,1.2738691246747795,4.28428602131826e-06,15,KEGG
Pathway 3,1.1424031293617396,9.17755335623152e-06,52,GO
Pathway 4,2.1891819596408975,1.9659631777002546e-05,47,KEGG
Pathway 5,0.5223014237710529,4.211374280323812e-05,34,GO
Pathway 6,0.8262828222145056,9.021365979865275e-05,57,KEGG
Pathway 7,1.6187665348853721,0.00019325056080366428,32,GO
Pathway 8,0.7843218191724586,0.00041397033813152614,56,KEGG
Pathway 9,0.6012598923731625,0.0008867836664486452,58,GO
Pathway 10,1.0506186061758884,0.001899617433049642,67,KEGG
Pathway 11,0.9975902152379048,0.004069252207133523,12,GO
Pathway 12,1.1963813205441238,0.008716920174120303,27,KEGG
Pathway 13,0.7814103988432652,0.01867288962546537,43,GO
Pathway 14,1.4388209659284161,0.04,10,KEGG
