unit,cohort,exposure,response
D01,Discovery,1.109,7.5482
D02,Discovery,1.6405,6.9887
D03,Discovery,2.3456,6.3509
D04,Discovery,2.7057,7.851
D05,Discovery,3.5885,10.5904
D06,Discovery,3.9557,10.0302
D07,Discovery,4.8001,14.6792
D08,Discovery,5.2322,15.2329
D09,Discovery,6.1089,17.5758
D10,Discovery,6.8344,13.7913
D11,Discovery,7.2496,18.0731
D12,Discovery,8.0618,21.9197
D13,Discovery,8.4609,20.0456
D14,Discovery,9.3722,23.0189
D15,Discovery,9.9446,20.7696
D16,Discovery,10.6989,22.4113
D17,Discovery,11.0042,23.7252
D18,Discovery,11.4969,25.2808
V01,Validation,0.7407,9.1844
V02,Validation,1.6386,8.7617
V03,Validation,2.3174,12.232
V04,Validation,3.4598,13.0025
V05,Validation,3.6114,11.0822
V06,Validation,4.3061,13.0804
V07,Validation,4.7218,13.5006
V08,Validation,5.8841,14.8851
V09,Validation,6.1652,16.9752
V10,Validation,6.7737,12.5262
V11,Validation,7.3463,17.2173
V12,Validation,8.1964,16.0083
V13,Validation,8.3726,19.9526
V14,Validation,8.9565,18.2104
V15,Validation,9.5068,19.3095
V16,Validation,10.6629,21.1487
V17,Validation,11.2683,19.7674
V18,Validation,11.342,18.0015
