unit,outcome,score,cohort
P000,0,0.190773032140989,Discovery
P001,0,0,Discovery
P002,1,0.626762221501921,Discovery
P003,0,0.103025113995418,Discovery
P004,1,0.726073173623061,Discovery
P005,0,0,Discovery
P006,0,0.433646950189341,Discovery
P007,1,0.81044118695539,Discovery
P008,0,0.539306969810479,Discovery
P009,1,1,Discovery
P010,0,0.64824090799981,Discovery
P011,0,0.134288764691751,Discovery
P012,0,0.0267588572114812,Discovery
P013,0,0.160406665953194,Discovery
P014,0,0.105284809817664,Discovery
P015,0,0.387185557591359,Discovery
P016,1,0.523387937573575,Discovery
P017,0,0.365934076278105,Discovery
P018,1,0.941220250433367,Discovery
P019,1,0.693731880276846,Discovery
P020,1,0.805574723352786,Discovery
P021,0,0.518939850462455,Discovery
P022,1,1,Discovery
P023,1,0.807215761525299,Discovery
P024,1,0.993615927896195,Discovery
P025,0,0.496352325869456,Discovery
P026,0,0.0892787426919318,Discovery
P027,0,0.0121936714121565,Discovery
P028,0,0.675047062791799,Discovery
P029,1,0.602272526218245,Discovery
P030,1,0.490904261274215,Discovery
P031,1,0.49210976351978,Discovery
P032,1,0.565814268023359,Discovery
P033,1,0.501675395301376,Discovery
P034,0,0.439132825326457,Discovery
P035,0,0,Discovery
P036,1,0.707189844288461,Discovery
P037,1,0.990239247954781,Discovery
P038,0,0,Discovery
P039,0,0.318798821114457,Discovery
P040,1,0.605442462495519,Discovery
P041,0,0.632201529199665,Discovery
P042,1,1,Discovery
P043,0,0.190542657025,Discovery
P044,1,0.728327921593583,Discovery
P045,1,0.701578214164218,Discovery
P046,1,0.645327087383387,Discovery
P047,0,0.305798332785697,Discovery
P048,0,0.707371970674328,Discovery
P049,1,0.742630204383111,Discovery
P050,1,0.739654478162054,Discovery
P051,1,0.65034173092432,Discovery
P052,0,0.35189738535888,Discovery
P053,0,0.271794880241597,Discovery
P054,0,0.467188412250114,Discovery
P055,0,0.419959616327807,Discovery
P056,0,0.455029413245479,Discovery
P057,1,0.114540060248383,Discovery
P058,0,0.490815299908694,Discovery
P059,0,0.133877587423396,Discovery
P060,0,0.158492894421082,Validation
P061,1,0.703649682087746,Validation
P062,0,0,Validation
P063,1,0.464732692076999,Validation
P064,0,0,Validation
P065,0,0.513909296495093,Validation
P066,1,0.932430778601059,Validation
P067,1,0.768809113634691,Validation
P068,0,0,Validation
P069,0,0.33074427777482,Validation
P070,1,0.582290243153396,Validation
P071,0,1,Validation
P072,0,0.165583223217066,Validation
P073,1,0.420949909932833,Validation
P074,1,0.709006515198683,Validation
P075,1,0.668392965362236,Validation
P076,1,0.69939871793566,Validation
P077,0,0.266493521977501,Validation
P078,1,0.788290656771889,Validation
P079,1,0.690542576143554,Validation
P080,0,0.12719789852845,Validation
P081,0,0.0922929769264004,Validation
P082,1,0.703222445611573,Validation
P083,1,1,Validation
P084,0,0.219707413322134,Validation
P085,0,0.183558621048401,Validation
P086,0,0.484161970044169,Validation
P087,1,0.753569783690798,Validation
P088,1,0.763876878465285,Validation
P089,0,0.582068639801363,Validation
P090,0,0.557415940646276,Validation
P091,1,0.555234957926768,Validation
P092,1,1,Validation
P093,1,0.873305908646083,Validation
P094,0,0.148148018959253,Validation
P095,0,0,Validation
P096,0,0.160892326459687,Validation
P097,0,0.491738114370988,Validation
P098,0,0.487415931747276,Validation
P099,0,0.45387879934549,Validation
P100,0,0.672451490698276,Validation
P101,0,0.220888578506383,Validation
P102,0,0.108049168196379,Validation
P103,1,0.201245898668747,Validation
P104,1,0.476315668433155,Validation
P105,1,0.745928800266995,Validation
P106,1,0.538792917698379,Validation
P107,0,0.832450813520173,Validation
P108,1,0.891452413617837,Validation
P109,1,0.967501931834302,Validation
P110,0,0.0443525110095447,Validation
P111,0,0.584692628593281,Validation
P112,1,0.611186509012887,Validation
P113,1,0.975480470310423,Validation
P114,0,0.682631091636043,Validation
P115,1,0.304374770004967,Validation
P116,1,1,Validation
P117,1,0.895068170406419,Validation
P118,0,0.678638199869345,Validation
P119,0,0,Validation
