unit,group,day,signal
V00,Vehicle,0,7.8417
V00,Vehicle,2,8.475
V00,Vehicle,4,8.1802
V00,Vehicle,7,8.2176
V00,Vehicle,10,9.1091
V01,Vehicle,0,8.8932
V01,Vehicle,2,9.6238
V01,Vehicle,4,8.9073
V01,Vehicle,7,8.7673
V01,Vehicle,10,8.7213
V02,Vehicle,0,8.151
V02,Vehicle,2,8.1739
V02,Vehicle,4,8.3439
V02,Vehicle,7,9.4163
V02,Vehicle,10,10.2399
V03,Vehicle,0,8.2516
V03,Vehicle,2,8.6899
V03,Vehicle,4,9.962
V03,Vehicle,7,10.0888
V03,Vehicle,10,10.4093
V04,Vehicle,0,8.0116
V04,Vehicle,2,8.7135
V04,Vehicle,4,8.0747
V04,Vehicle,7,8.6785
V04,Vehicle,10,8.8389
V05,Vehicle,0,8.4147
V05,Vehicle,2,8.8917
V05,Vehicle,4,8.5655
V05,Vehicle,7,9.068
V05,Vehicle,10,9.473
V06,Vehicle,0,8.1859
V06,Vehicle,2,8.8147
V06,Vehicle,4,8.6765
V06,Vehicle,7,8.6974
V06,Vehicle,10,8.5435
V07,Vehicle,0,8.2225
V07,Vehicle,2,7.5538
V07,Vehicle,4,7.8212
V07,Vehicle,7,8.0018
V07,Vehicle,10,7.797
V08,Vehicle,0,7.7998
V08,Vehicle,2,8.8511
V08,Vehicle,4,7.849
V08,Vehicle,7,8.1605
V08,Vehicle,10,8.1867
V09,Vehicle,0,7.4577
V09,Vehicle,2,7.7002
V09,Vehicle,4,7.4779
V09,Vehicle,7,7.7611
V09,Vehicle,10,8.702
C00,CX-17,0,8.0221
C00,CX-17,2,9.2842
C00,CX-17,4,10.4949
C00,CX-17,7,13.523
C00,CX-17,10,16.1062
C01,CX-17,0,8.2166
C01,CX-17,2,9.4196
C01,CX-17,4,11.0374
C01,CX-17,7,12.5883
C01,CX-17,10,14.609
C02,CX-17,0,6.7114
C02,CX-17,2,9.0643
C02,CX-17,4,9.2863
C02,CX-17,7,10.8603
C02,CX-17,10,12.6297
C03,CX-17,0,8.6401
C03,CX-17,2,10.4683
C03,CX-17,4,12.2436
C03,CX-17,7,14.9465
C03,CX-17,10,16.4725
C04,CX-17,0,7.9761
C04,CX-17,2,9.5205
C04,CX-17,4,11.9362
C04,CX-17,7,14.4602
C04,CX-17,10,17.3651
C05,CX-17,0,8.5445
C05,CX-17,2,9.4735
C05,CX-17,4,10.6907
C05,CX-17,7,13.3315
C05,CX-17,10,16.7695
C06,CX-17,0,8.7528
C06,CX-17,2,10.1789
C06,CX-17,4,11.8041
C06,CX-17,7,13.5189
C06,CX-17,10,15.0396
C07,CX-17,0,7.6868
C07,CX-17,2,9.2584
C07,CX-17,4,10.8707
C07,CX-17,7,13.6613
C07,CX-17,10,16.0713
C08,CX-17,0,8.5857
C08,CX-17,2,9.4049
C08,CX-17,4,10.7739
C08,CX-17,7,12.5304
C08,CX-17,10,13.8344
C09,CX-17,0,7.8166
C09,CX-17,2,9.1718
C09,CX-17,4,11.3609
C09,CX-17,7,13.0713
C09,CX-17,10,14.4132
